id,name,artists,album,release_date,duration_ms,popularity,external_url,genre
1KZG1H1OCugGqIRmk1wF9m,Indigo (feat. Avery Anna),"Sam Barber, Avery Anna",Restless Mind,2024-11-01,286634,84,https://open.spotify.com/track/1KZG1H1OCugGqIRmk1wF9m,Country
6GG4yyk3UATdBfTHVgI8PB,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs,Ain't No Love In Oklahoma (From Twisters: The Album),2024-05-16,210950,82,https://open.spotify.com/track/6GG4yyk3UATdBfTHVgI8PB,Country
5ya0TmUQw2wHMkq36rPsnd,World on Fire,Nate Smith,NATE SMITH (DELUXE),2023-04-28,189986,77,https://open.spotify.com/track/5ya0TmUQw2wHMkq36rPsnd,Country
7fveJ3pk1eSfxBdVkzdXZ0,Cowgirls (feat. ERNEST),"Morgan Wallen, ERNEST",One Thing At A Time,2023-03-03,181621,66,https://open.spotify.com/track/7fveJ3pk1eSfxBdVkzdXZ0,Country
0KTsdevsuwkdztD2HocKJV,She's Gone,Jeddy Knox,She's Gone,2024-12-05,217062,52,https://open.spotify.com/track/0KTsdevsuwkdztD2HocKJV,Country
1SBoKG4MjtH2vMUpftdQtc,Beautiful As You,Thomas Rhett,About A Woman,2024-08-23,163894,70,https://open.spotify.com/track/1SBoKG4MjtH2vMUpftdQtc,Country
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,Love Somebody,2024-10-18,204828,79,https://open.spotify.com/track/7hR22TOX3RorxJPcsz5Wbo,Country
6StwwqB84sJeLr7tZDTxEX,Guy For That (Feat. Luke Combs),"Post Malone, Luke Combs",F-1 Trillion,2024-08-15,164011,78,https://open.spotify.com/track/6StwwqB84sJeLr7tZDTxEX,Country
3vqAU08PUq9pC2MMObvCJJ,Cutting Corners,Angelica Appelman,Cutting Corners,2025-08-01,184286,41,https://open.spotify.com/track/3vqAU08PUq9pC2MMObvCJJ,Country
7lCs3stpWCtAn5Y2lmnPhV,I Ain't Sayin',Jordan Davis,I Ain't Sayin',2024-07-26,174060,75,https://open.spotify.com/track/7lCs3stpWCtAn5Y2lmnPhV,Country
